title,description,genre,rating
Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",Sci-Fi,8.8
The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Action,9.0
Interstellar,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",Sci-Fi,8.7
The Matrix,"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.",Sci-Fi,8.7
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Crime,8.9
The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Drama,9.3
The Godfather,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",Crime,9.2
Forrest Gump,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75.",Drama,8.8
The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative killer to help catch another serial killer, a madman who skins his victims.",Thriller,8.6
Gladiator,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",Action,8.5
The Grand Budapest Hotel,"A writer encounters the owner of a decaying high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's golden age under the exceptional concierge.",Comedy,8.1
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",Action,8.1
Arrival,"A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.",Sci-Fi,7.9
Blade Runner 2049,"A young Blade Runner's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Sci-Fi,8.0
Parasite,"Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.",Thriller,8.5
The Social Network,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",Biography,7.8
Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Romance,8.3
Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Romance,8.0
Whiplash,"A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.",Drama,8.5
The Prestige,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Drama,8.5
Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Animation,8.4
Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Animation,8.4
Get Out,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Horror,7.8
A Quiet Place,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",Horror,7.5
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Biography,8.2
Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Thriller,8.1
The Shape of Water,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",Fantasy,7.3
Dune,"A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.",Sci-Fi,8.0
Once Upon a Time in Hollywood,"A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.",Drama,7.6
The Revenant,"A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.",Adventure,8.0
Joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Drama,8.4
Gravity,"Two astronauts work together to survive after an accident leaves them stranded in space.",Sci-Fi,7.7
The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Sci-Fi,8.0
Prometheus,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",Sci-Fi,7.0
WALL-E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Animation,8.4
Up,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Animation,8.3
Toy Story,"A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.",Animation,8.3
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Animation,8.2
Shrek,"A mean-spirited ogre manages a deal with a nobleman to get his swamp back and must rescue a princess to keep it.",Animation,7.9
The Lion King,"Lion prince Simba and his father are targeted by his treacherous uncle, who wants to ascend the throne himself.",Animation,8.5
Beauty and the Beast,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",Animation,8.0
Spirited Away,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Animation,8.6
Princess Mononoke,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony.",Animation,8.4
Your Name,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Animation,8.4
Ex Machina,"A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.",Sci-Fi,7.7
Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.",Sci-Fi,8.1
2001: A Space Odyssey,"After uncovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with the help of intelligent supercomputer H.A.L. 9000.",Sci-Fi,8.3
Alien,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and its life cycle is revealed to be only the beginning.",Sci-Fi,8.5
The Thing,"A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.",Horror,8.2
Predator,"A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.",Action,7.8
TERMINATOR 2: JUDGMENT DAY,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",Action,8.6
Total Recall,"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or does he?",Sci-Fi,7.5
RoboCop,"In a futuristic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",Action,7.6
District 9,"Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.",Sci-Fi,7.9
Children of Men,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",Sci-Fi,7.9
Looper,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",Sci-Fi,7.4
Cloud Atlas,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and a single act of kindness ripples across centuries to inspire a revolution.",Sci-Fi,7.4
Source Code,"A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train. A mission he has only 8 minutes to complete.",Sci-Fi,7.5
Edge of Tomorrow,"A soldier fighting aliens gets reliving the same day over and over again every time he dies.",Sci-Fi,7.9
Tenet,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Sci-Fi,7.3
The Truman Show,"An insurance salesman discovers his whole life is actually a reality TV show.",Drama,8.2
The Sixth Sense,"A boy who communicates with spirits seeks the help of a disheartened child psychologist.",Drama,8.1
Fight Club,"An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.",Drama,8.8
The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Crime,8.5
Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Crime,8.6
Memento,"A man with short-term memory loss attempts to track down his wife's murderer.",Mystery,8.4
The Departed,"An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.",Crime,8.5
Shutter Island,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Mystery,8.2
Goodfellas,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Crime,8.7
City of God,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Crime,8.6
La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Romance,8.0
The Notebook,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",Romance,7.8
About Time,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Romance,7.8
Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Romance,8.1
Amelie,"Amelie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Romance,8.3
Little Miss Sunshine,"A family determined to get their young daughter into the finals of a beauty pageant take a cross-country journey in their VW bus.",Comedy,7.8
Groundhog Day,"A narcissistic TV weatherman, along with his attractive-but-distant producer and mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",Comedy,8.0
The Hangover,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Comedy,7.7
Shaun of the Dead,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",Comedy,7.9
Hot Fuzz,"A skilled London police officer, after irritating his superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a series of grisly accidents strikes the town.",Comedy,7.8
Superbad,"Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.",Comedy,7.6
Zoolander,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",Comedy,6.6
Napoleon Dynamite,"A listless and alienated teenager decides to help his new friend win the class presidency of their small high school, while he must deal with his bizarre family life back home.",Comedy,7.0
Juno,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.",Drama,7.5
Lady Bird,"In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.",Drama,7.4
Boyhood,"The life of Mason, from early childhood to his arrival at college.",Drama,7.9
Moonlight,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",Drama,7.4
Manchester by the Sea,"A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.",Drama,7.8
Marriage Story,"Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.",Drama,7.9
The Farewell,"A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies.",Drama,7.5
Coda,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music by wanting to go to Berklee College of Music and her fear of abandoning her parents.",Drama,8.0
Minari,"A Korean family moves to Arkansas to start a farm in the 1980s.",Drama,7.5
Nomadland,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",Drama,7.3
The Power of the Dog,"Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.",Drama,6.8
Drive,"A mysterious Hollywood stuntman and garage mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.",Action,7.8
Nightcrawler,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",Thriller,7.8
The Nice Guys,"In 1970s Los Angeles, a mismatched pair of private eyes investigate the mysterious disappearance of a girl and the death of a porn star.",Comedy,7.4
Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Action,7.6
The Batman,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Action,7.8
Top Gun: Maverick,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",Action,8.3
Each of its 100 movies in this list should represent a unique story with distinct characteristics.
